ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
HLV004-2|Losas y Vigas|HLV004||jseborga|08/08/2016 12:00 PM|14/11/2016 12:00 PM|Losas y Vigas De hormigon Armado|0|||418,19|M2|1615,73157
HLV004-3|Muro de Asensor|HLV004||jseborga|08/08/2016 12:00 PM|14/11/2016 12:00 PM|Muros estructurales hasta nivel de referencia|0|||100|PER|0,1
HLV004-4|Tabique|HLV004||jseborga|18/12/2016 12:00 PM|18/03/2017 12:00 PM|Tabiques de Nivel de Referencia|0|||283,31|M2|0,1
HLV004-5|Escaleras|HLV004||jseborga|08/08/2016 12:00 PM|14/11/2016 12:00 PM|Escaleras hasta nivel de referencia|0|||3,61|M3|0,1
HLV005|NIVEL 2 SALONES|||jseborga|29/08/2016 12:00 PM|18/03/2017 12:00 PM||1|||0||0
HLV005-1|Columnas|HLV005||jseborga|29/08/2016 12:00 PM|12/12/2016 12:00 PM|Columnas Hasta Nivel de Referencia|0|||100|PER|0,1
HLV005-2|Losas y Vigas|HLV005||jseborga|29/08/2016 12:00 PM|12/12/2016 12:00 PM|Losas y Vigas De hormigon Armado|0|||322,46|M2|1615,73157
HLV005-3|Muro de Asensor|HLV005||jseborga|29/08/2016 12:00 PM|12/12/2016 12:00 PM|Muros estructurales hasta nivel de referencia|0|||100|PER|0,1
HLV005-4|Tabique|HLV005||jseborga|18/12/2016 12:00 PM|18/03/2017 12:00 PM|Tabiques de Nivel de Referencia|0|||352,73|M2|0,1
HLV005-5|Escaleras|HLV005||jseborga|29/08/2016 12:00 PM|29/08/2016 12:00 PM|Escaleras hasta nivel de referencia|0|||2,26|M3|0,1
HLV006|NIVEL 3 OFICINAS 01|||jseborga|26/09/2016 12:00 PM|18/03/2017 12:00 PM||1|||0||0
HLV006-1|Columnas|HLV006||jseborga|26/09/2016 12:00 PM|09/01/2017 12:00 PM|Columnas Hasta Nivel de Referencia|0|||100|PER|0,1
HLV006-2|Losas y Vigas|HLV006||jseborga|26/09/2016 12:00 PM|09/01/2017 12:00 PM|Losas y Vigas De hormigon Armado|0|||249,33|M2|1615,73157
HLV006-3|Muro de Asensor|HLV006||jseborga|26/09/2016 12:00 PM|09/01/2017 12:00 PM|Muros estructurales hasta nivel de referencia|0|||100|PER|0,1
HLV006-4|Tabique|HLV006||jseborga|18/12/2016 12:00 PM|18/03/2017 12:00 PM|Tabiques de Nivel de Referencia|0|||331,32|M2|0,1
HLV006-5|Escaleras|HLV006||jseborga|26/09/2016 12:00 PM|09/01/2017 12:00 PM|Escaleras hasta nivel de referencia|0|||2,12|M3|0,1
HLV007|NIVEL 4 OFICINAS 02|||jseborga|17/10/2016 12:00 PM|18/03/2017 12:00 PM||1|||0||0
HLV007-1|Columnas|HLV007||jseborga|17/10/2016 12:00 PM|30/01/2017 12:00 PM|Columnas Hasta Nivel de Referencia|0|||100|PER|0,1
HLV007-2|Losas y Vigas|HLV007||jseborga|17/10/2016 12:00 PM|30/01/2017 12:00 PM|Losas y Vigas De hormigon Armado|0|||249,33|M2|1615,73157
HLV007-3|Muro de Asensor|HLV007||jseborga|17/10/2016 12:00 PM|30/01/2017 12:00 PM|Muros estructurales hasta nivel de referencia|0|||100|PER|0,1
HLV007-4|Tabique|HLV007||jseborga|18/12/2016 12:00 PM|18/03/2017 12:00 PM|Tabiques de Nivel de Referencia|0|||302,45|M2|0,1
HLV007-5|Escaleras|HLV007||jseborga|17/10/2016 12:00 PM|30/01/2017 12:00 PM|Escaleras hasta nivel de referencia|0|||2,12|M3|0,1
HLV008|NIVEL 5 HABITACIONES 01|||jseborga|07/11/2016 12:00 PM|18/03/2017 12:00 PM||1|||0||0
HLV008-1|Columnas|HLV008||jseborga|07/11/2016 12:00 PM|19/12/2016 12:00 PM|Columnas Hasta Nivel de Referencia|0|||100|PER|0,1
HLV008-2|Losas y Vigas|HLV008||jseborga|07/11/2016 12:00 PM|19/12/2016 12:00 PM|Losas y Vigas De hormigon Armado|0|||249,33|M2|1615,73157
HLV008-3|Muro de Asensor|HLV008||jseborga|07/11/2016 12:00 PM|19/12/2016 12:00 PM|Muros estructurales hasta nivel de referencia|0|||100|PER|0,1
HLV008-4|Tabique|HLV008||jseborga|18/12/2016 12:00 PM|18/03/2017 12:00 PM|Tabiques de Nivel de Referencia|0|||402,56|M2|0,1
HLV008-5|Escaleras|HLV008||jseborga|07/11/2016 12:00 PM|19/12/2016 12:00 PM|Escaleras hasta nivel de referencia|0|||2,15|M3|0,1
HLV009|NIVEL 6 HABITACIONES 02 (SOLO LOSA)|||jseborga|28/11/2016 12:00 PM|20/02/2017 12:00 PM||1|||0||0
HLV009-1|Columnas|HLV009||jseborga|28/11/2016 12:00 PM|20/02/2017 12:00 PM|Columnas Hasta Nivel de Referencia|0|||100|PER|0,1
HLV009-2|Losas y Vigas|HLV009||jseborga|28/11/2016 12:00 PM|20/02/2017 12:00 PM|Losas y Vigas De hormigon Armado|0|||249,33|M2|1615,73157
HLV009-3|Muro de Asensor|HLV009||jseborga|28/11/2016 12:00 PM|20/02/2017 12:00 PM|Muros estructurales hasta nivel de referencia|0|||100|PER|0,1
