ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
133-309|RELLENO COMPACTADO (INCL. PROV.)|133-300||carguedas||||0|||2500|M3|103.54
133-310|RELLENO COMPACTADO PARA FUNDACIONES (INCL. PROV.)|133-300||carguedas||||0|||2000|M3|103.54
133-311|EXCAVACION CON AGOTAMIENTO Y ENTIBADO|133-300||carguedas||||0|||4603|M3|141.65
133-400|MOVIMIENTO DE TIERRAS|||carguedas||||1|||||
133-401|DESBROCE, TALA, DESTRONQUE Y LIMPIEZA|133-400||carguedas||||0|||0.5|HA|6330.31
133-402|EXCAVACION COMUN|133-400||carguedas||||0|||1200|M3|35.25
133-403|CONFOR. DE TERRAPLEN CON MAT. DRENANTE DE BANCO (INCLUYE EXCAV.)|133-400||carguedas||||0|||7335|M3|143.66
133-404|CONFOR. DE TERRAPLEN CON MAT. DE BANCO (INCLUYE EXCAV.)|133-400||carguedas||||0|||12622.6|M3|116.72
133-405|SOBREACARREO PARA DISTANCIA MAYOR A 300 M|133-400||carguedas||||0|||1249485.3|M3K|2.88
133-500|PAVIMENTACION|||carguedas||||1|||||
133-501|BASE TRITURADA DRENANTE, DMT=80 KM|133-500||carguedas||||0|||467.01|M3|278.39
133-502|SUB BASE ESTABILIZADA GRANULOMETRICAMENTE DMT=80 KM|133-500||carguedas||||0|||513.22|M3|134.77
133-503|IMPRIMACION (INCL. SUM)|133-500||carguedas||||0|||1757|M2|19.78
133-504|TRATAMIENTO BITUMINOSO DOBLE (INCL. SUM)|133-500||carguedas||||0|||1757|M2|53.9
133-600|MEDIO AMBIENTE|||carguedas||||1|||||
133-601|SEÑAL INFORMATIVA DE 1 PLACA (1.50 X 0.40 M)|133-600||carguedas||||0|||2|PZA|1671.44
133-602|TACHAS REFLECTIVAS BIDIRECCIONALES|133-600||carguedas||||0|||64|PZA|38.36
133-603|PROVISION PINTURA REFLECTIVA AMARILLA|133-600||carguedas||||0|||42|L|114.87
133-604|PROVISION PINTURA REFLECTIVA BLANCA|133-600||carguedas||||0|||42|L|114.87
133-605|DEFENSAS METALICAS TIPO FLEX-BEAM|133-600||carguedas||||0|||320|ML|605.25
133-700|MITIGACION AMBIENTAL|||carguedas||||1|||||
133-701|CONTENEDORES|133-700||carguedas||||0|||4|PZA|816.47
133-702|BOTIQUÍN Y MEDICAMENTOS|133-700||carguedas||||0|||1|PZA|659.98
133-703|EXTINTOR TIPO ABC 5 LIBRAS|133-700||carguedas||||0|||3|PZA|476.28
133-704|CINTAS P/ SEÑALIZACIÓN|133-700||carguedas||||0|||2500|ML|0.66
133-705|AGUA PARA RIEGO|133-700||carguedas||||0|||1800|M3|9.59
133-706|OVEROL, BOTAS, GUANTES CASCOS|133-700||carguedas||||0|||150|JGO|816.47
133-707|PROTECTORES BUCONASAL|133-700||carguedas||||0|||50|PZA|197.31
133-708|PROTECTORES AUDITIVOS|133-700||carguedas||||0|||50|PZA|29.94
133-800|MITIGACION AMBIENTAL|||carguedas||||1|||||
133-801|OBRAS DE PROTECCION Y MITIGACION AMBIENTAL|||carguedas||||0|||1|GLB|210976.16
133-900|SERVICIOS DE CAMPO|133-800||carguedas||||1|||||
133-901|SERVICIO DE ALIMENTACION|||carguedas||||0|||7629|H*D|70
133-902|ALQUILER OFICINAS, VIVIENDAS Y DEPOSITOS PARA SUPERVISOR Y FISCAL|133-900||carguedas||||0|||8901|M2M|61.24
133-903|MANTENIMIENTODEVEHICULOSINCLUYELUBRICANTES,COMBUSTIBLE,CAMBIODE LLANTAS.|133-900||carguedas||||0|||30|V*M|5647.27
